ubigeo,total_fp,total_pl,total_validos,total_en_blanco,total_votos_nulos,total_votos_impugnados,total_votos_emitidos,total_primera_accion_popular,total_primera_app,total_primera_avanza_pais,total_democracia_directa,total_primera_frente_amplio,total_primera_fuerza_popular,total_primera_jpp,total_primera_somos,total_primera_partido_morado,total_primera_nacionalista,total_primera_peru_libre,total_primera_ppc,total_primera_pps,total_primera_podemos_peru,total_primera_renacimiento,total_renovacion_popular,total_upp,total_victoria_nacional,total_primera_blanco,total_primera_nulo
010101,6064,7572,13636,119,1254,3,15012,1338,1009,1132,36,112,1222,1314,213,281,182,1695,125,35,333,36,1225,30,630,1543,1128
010102,31,121,152,2,4,0,158,17,8,1,0,0,6,6,3,2,15,14,0,1,2,1,6,0,8,9,15
010103,259,368,627,4,26,0,657,52,25,4,0,3,49,28,10,5,9,117,1,1,2,2,21,2,25,122,26
010104,115,265,380,5,42,0,427,47,32,14,0,18,29,37,1,4,29,44,2,0,2,1,26,1,9,78,37
010105,191,166,357,0,26,0,383,28,12,3,2,2,88,14,0,1,14,41,0,1,2,3,6,1,2,78,26
010106,340,311,651,3,41,0,695,54,35,1,3,13,125,56,6,6,9,60,1,0,2,4,13,3,27,166,57
010107,89,187,276,4,15,0,295,18,14,8,0,1,39,24,2,8,11,79,0,0,0,1,17,0,4,45,18
010108,158,159,317,3,8,0,328,30,16,2,1,5,35,13,2,7,22,54,1,0,5,3,15,1,19,53,25
010109,464,2158,2622,41,228,0,2891,168,173,36,0,45,107,287,26,21,160,564,6,6,38,15,75,15,56,576,259
010110,697,849,1546,23,102,0,1671,178,96,82,4,20,148,119,48,14,45,215,3,4,22,3,96,2,44,326,109
010111,291,362,653,6,26,0,685,33,38,30,0,7,110,54,4,8,24,125,0,0,13,4,27,1,15,104,28
010112,172,342,514,9,21,0,544,45,37,26,1,2,45,40,5,9,35,49,0,0,3,3,56,3,19,76,49
010113,237,261,498,8,27,0,533,56,24,12,0,6,75,36,5,5,5,79,1,0,2,3,15,0,15,46,60
010114,525,780,1305,20,74,0,1399,118,55,60,1,6,135,139,14,15,44,240,3,0,22,3,77,3,31,209,102
010115,112,281,393,5,24,0,422,34,30,7,0,5,29,63,5,4,9,51,4,0,2,1,18,1,9,53,22
010116,64,177,241,1,8,0,250,43,10,21,1,2,23,21,3,5,14,30,0,1,0,0,10,0,8,34,17
010117,76,356,432,6,25,0,463,51,15,9,1,2,9,28,2,2,51,34,0,1,4,0,13,0,3,89,44
010118,88,107,195,2,16,0,213,13,10,20,0,18,22,16,2,2,8,25,3,0,2,1,10,0,9,25,15
010119,145,238,383,4,10,0,397,73,7,16,1,2,50,44,4,3,29,37,0,0,1,2,9,2,10,44,29
010120,264,512,776,5,44,0,825,64,56,27,1,52,78,45,3,3,31,80,1,0,5,1,42,4,10,145,44
010121,89,98,187,4,8,0,199,20,13,1,1,3,29,12,1,1,21,11,0,0,6,1,8,0,1,32,20
010201,5235,7756,12991,88,822,0,13901,931,1247,375,26,20,1658,469,117,107,506,2540,58,26,276,34,925,248,605,2053,1381
010202,3069,5662,8731,104,501,0,9336,444,400,119,12,22,1100,177,50,69,604,2086,13,6,519,69,402,78,254,2259,731
010203,867,1940,2807,28,129,0,2964,220,167,40,2,12,235,107,25,15,440,481,6,2,28,16,127,71,86,590,203
010204,250,690,940,5,32,0,977,64,47,14,0,3,71,37,7,3,117,214,1,1,14,8,42,41,60,166,46
010205,919,9457,10376,68,376,0,10820,208,359,68,9,30,338,325,28,157,1027,2365,11,8,1723,57,252,408,107,2697,753
010206,1696,2769,4465,41,269,0,4775,319,260,66,7,17,518,150,30,23,509,700,14,7,65,14,217,99,174,867,549
010301,170,366,536,11,51,0,598,54,15,16,1,5,47,50,7,10,16,101,1,1,2,2,23,1,16,104,44
010302,106,176,282,6,18,0,306,32,20,10,0,6,39,20,10,1,8,44,0,1,3,0,16,1,5,36,41
010303,128,111,239,1,10,0,250,30,13,10,0,1,36,13,0,4,4,35,1,1,7,0,14,2,2,56,7
010304,100,380,480,6,14,0,500,24,26,5,0,1,34,27,12,3,12,172,1,1,3,2,16,4,8,104,43
010305,98,319,417,1,18,0,436,39,18,4,0,2,19,33,6,4,14,71,1,0,10,2,20,12,20,92,55
010306,1125,1843,2968,35,243,0,3246,125,98,69,2,9,392,89,12,17,38,955,3,2,44,10,105,11,47,526,269
010307,1771,2030,3801,48,254,0,4103,242,209,143,1,16,629,278,30,54,111,686,9,8,94,14,212,49,115,699,246
010308,42,143,185,1,5,0,191,24,8,5,0,5,20,22,3,5,6,22,1,0,4,2,7,4,12,24,10
010309,102,202,304,3,22,0,329,22,33,7,2,0,27,18,2,5,15,62,0,1,8,2,19,6,6,54,32
010310,269,604,873,7,55,0,935,52,26,23,2,5,74,56,6,6,41,205,2,1,23,2,24,10,20,143,184
010311,301,286,587,7,27,0,621,34,47,10,0,4,119,56,3,10,33,59,1,0,14,4,34,2,17,112,46
010312,997,1914,2911,32,118,0,3061,198,110,52,2,17,307,95,22,20,41,842,1,7,22,9,97,28,44,574,170
010401,1030,6833,7863,55,324,0,8242,131,307,77,9,47,342,241,9,38,2560,915,12,12,404,18,170,247,75,2187,536
010402,96,3937,4033,11,158,0,4202,54,22,9,1,29,22,132,1,54,1987,404,6,5,292,7,71,32,22,729,365
010403,328,3324,3652,111,78,0,3841,110,72,17,3,88,98,183,6,64,1785,160,6,7,81,8,103,48,26,1182,203
010501,364,695,1059,13,78,0,1150,61,80,37,3,2,59,102,6,19,120,125,4,3,20,3,106,14,44,178,90
010502,854,2041,2895,30,170,0,3095,153,238,36,3,7,217,131,49,20,38,1120,7,4,18,23,58,49,48,613,227
010503,226,411,637,12,25,0,674,34,22,11,2,8,56,26,11,3,6,55,1,1,7,4,6,1,18,150,32
010504,459,571,1030,19,108,0,1157,75,46,22,0,12,107,105,13,12,130,101,2,0,14,7,38,1,18,203,106
010505,343,583,926,13,49,0,988,35,53,12,2,3,106,58,4,9,73,280,2,2,10,10,27,0,6,195,78
010506,170,147,317,3,18,0,338,21,22,6,0,2,42,22,0,6,34,23,2,3,5,1,9,0,12,79,18
010507,308,215,523,5,18,0,546,20,25,16,0,7,107,20,6,3,9,63,2,0,3,0,46,1,12,96,27
010508,162,268,430,5,19,0,454,30,52,14,0,3,65,43,4,8,23,48,1,2,1,3,3,0,11,61,26
010509,857,1154,2011,31,112,0,2154,117,184,59,2,16,383,139,7,35,146,275,6,4,28,36,84,12,29,416,123
010510,90,143,233,3,15,0,251,17,30,8,0,4,25,14,1,5,28,31,0,0,1,1,15,1,3,34,19
010511,160,296,456,6,24,0,486,50,36,5,0,4,42,36,5,3,13,87,1,0,3,3,22,0,11,100,19
010512,468,990,1458,29,68,0,1555,108,110,30,2,11,165,141,33,13,34,278,2,3,13,9,27,7,39,440,107
010513,703,817,1520,26,129,0,1675,123,129,24,0,12,169,104,53,17,66,125,1,4,14,11,43,15,32,522,117
010514,560,973,1533,24,69,0,1626,112,75,13,1,22,152,87,24,12,41,152,1,6,13,19,31,8,22,474,110
010515,93,481,574,4,18,0,596,75,35,8,2,5,18,45,1,5,3,38,1,2,3,6,13,3,9,99,17
010516,146,196,342,2,21,0,365,16,10,7,1,2,65,26,4,12,27,66,0,0,2,0,7,2,8,57,32
010517,139,236,375,4,9,0,388,37,23,10,0,3,46,20,10,8,11,41,1,3,5,3,17,0,12,110,12
010518,184,196,380,7,10,0,397,12,16,2,1,1,58,15,1,19,8,28,1,1,5,1,8,0,9,60,3
010519,131,135,266,5,21,0,292,20,12,6,0,5,30,14,1,2,7,18,0,0,0,2,5,0,0,63,28
010520,290,376,666,5,18,0,689,46,33,2,0,4,129,48,17,10,24,84,1,0,29,12,17,15,8,154,30
010521,588,795,1383,10,97,0,1490,75,109,29,3,19,156,66,8,4,30,210,5,2,17,7,49,5,43,257,126
010522,389,361,750,10,42,0,802,49,59,17,0,4,109,51,7,10,37,104,0,4,10,3,36,3,32,131,56
010523,156,526,682,7,22,0,711,41,47,15,1,6,55,57,5,9,94,132,1,2,3,9,26,10,6,152,50
010601,1001,1102,2103,21,177,0,2301,364,156,104,4,11,129,118,113,18,34,195,8,3,26,3,124,11,103,412,170
010602,393,547,940,8,35,0,983,99,38,15,4,7,84,33,37,8,25,70,6,2,9,3,30,4,31,183,57
010603,161,268,429,4,31,0,464,85,28,20,0,1,20,27,16,11,26,61,1,0,10,1,24,4,9,70,38
010604,853,626,1479,23,112,0,1614,211,74,72,2,9,135,84,76,29,26,80,1,0,11,5,61,4,123,295,222
010605,283,485,768,6,62,0,836,102,28,17,2,6,28,42,27,18,49,91,1,5,2,3,25,1,44,191,93
010606,371,538,909,11,82,0,1002,188,39,72,1,7,51,78,23,11,25,82,3,0,11,5,58,1,27,174,81
010607,508,547,1055,3,58,0,1116,284,48,68,1,11,81,58,33,18,22,73,2,2,6,1,38,4,36,217,54
010608,125,194,319,5,20,0,344,88,7,9,0,1,13,18,15,5,13,11,0,1,4,3,16,2,24,68,28
010609,1159,2512,3671,54,297,0,4022,403,207,63,5,58,261,236,168,30,176,593,4,6,30,10,98,19,118,877,246
010610,140,184,324,4,22,0,350,63,19,16,0,6,12,18,11,4,48,10,0,0,1,1,7,2,18,55,35
010611,114,121,235,1,14,0,250,61,12,9,0,2,14,9,3,3,11,11,0,1,2,1,10,0,16,42,18
010612,218,722,940,6,62,0,1008,136,15,6,0,4,91,40,9,2,24,185,0,1,5,6,22,2,17,262,38
010701,9153,16589,25742,202,1474,0,27418,1975,2396,527,31,148,3209,802,198,219,1221,6567,70,34,435,79,1304,172,356,4948,1518
010702,4004,9300,13304,145,632,0,14081,569,891,132,5,146,1268,476,63,74,1519,3366,40,18,106,66,504,97,115,2865,1051
010703,1542,2699,4241,35,197,0,4473,373,237,78,9,13,576,133,43,36,273,709,2,2,63,18,196,47,96,1039,537
010704,1154,1598,2752,36,163,0,2951,134,173,21,5,8,475,55,17,18,232,419,6,3,59,8,110,46,72,587,413
010705,1110,2406,3516,29,127,0,3672,194,175,47,2,16,322,136,23,28,148,862,2,5,35,9,68,212,43,687,394
010706,1755,2911,4666,51,259,0,4976,254,378,101,2,10,376,145,30,21,240,1361,8,4,44,31,268,50,66,1201,195
010707,504,1037,1541,12,58,0,1611,105,66,24,10,4,145,101,8,8,133,288,1,1,4,6,70,16,39,318,81
020101,11223,19574,30797,294,2405,0,33496,2508,1691,2394,151,177,2635,2532,368,474,379,7294,314,86,880,145,2273,101,1269,3308,2704
020102,348,406,754,19,21,0,794,33,12,4,0,19,115,48,14,3,3,184,1,2,7,4,16,2,8,137,22
020103,59,107,166,1,8,0,175,24,9,3,0,2,17,20,1,2,0,23,0,1,0,1,6,0,3,30,3
020104,387,586,973,27,48,0,1048,42,36,6,1,2,161,58,15,7,17,253,3,0,16,7,17,4,13,247,50
020105,13623,25167,38790,323,2766,0,41879,2610,2135,2760,202,282,3635,3407,465,557,425,10108,350,102,1043,184,2646,130,1429,4136,3176
020106,1084,2068,3152,38,264,0,3454,92,149,94,1,31,481,194,27,33,33,1127,8,11,65,18,108,12,54,595,246
020107,348,390,738,11,34,0,783,40,22,8,1,4,134,54,9,12,5,180,1,2,34,1,6,4,32,150,36
020108,505,1372,1877,23,88,0,1988,73,52,27,2,28,192,252,7,10,78,625,0,7,40,5,34,3,53,334,85
020109,194,417,611,4,35,0,650,55,21,8,0,7,65,38,3,1,8,168,0,2,9,4,11,2,12,115,38
020110,1269,1396,2665,44,113,0,2822,160,53,37,5,47,533,139,28,13,12,578,6,6,84,7,59,18,41,526,150
020111,850,1363,2213,40,102,0,2355,144,54,33,2,74,350,146,24,19,14,538,1,4,56,15,30,8,55,457,437
020112,1300,2424,3724,101,262,0,4087,154,189,113,4,51,557,231,39,22,70,1159,19,3,69,27,158,26,89,731,333
020201,330,709,1039,10,42,0,1091,86,27,21,4,4,102,126,8,23,7,291,3,2,15,2,20,6,36,111,51
020202,362,450,812,15,33,0,860,32,19,15,3,4,130,87,5,4,36,199,0,2,6,3,17,3,26,159,41
020203,56,197,253,3,7,0,263,14,15,5,0,1,28,40,1,6,2,82,0,2,2,3,2,0,9,34,5
020204,497,716,1213,8,66,0,1287,104,45,23,1,1,174,110,6,6,22,379,4,1,14,5,15,1,22,183,89
020205,168,253,421,5,18,0,444,32,12,8,1,4,35,51,6,2,7,102,1,0,4,4,6,1,13,85,20
020301,172,1008,1180,28,77,0,1285,115,29,22,3,9,52,135,43,16,30,342,6,3,14,6,21,9,20,323,119
020302,146,678,824,10,57,0,891,70,10,7,2,4,46,61,25,7,13,310,0,5,13,4,15,3,24,220,59
020303,89,574,663,10,31,0,704,46,9,10,0,22,11,69,21,7,10,258,1,0,8,5,18,4,5,169,49
020304,128,673,801,12,34,0,847,82,14,11,2,3,42,141,36,4,24,237,3,2,9,4,43,7,12,185,70
020305,141,1701,1842,26,66,0,1934,132,26,18,1,10,59,242,85,8,14,577,5,6,19,8,34,12,14,550,127
020306,112,422,534,3,29,0,566,65,6,5,0,1,23,35,10,4,8,138,1,1,1,4,5,4,5,100,78
020401,465,1732,2197,26,208,0,2431,132,33,57,3,112,161,339,45,23,60,440,11,3,38,10,87,9,58,521,216
020402,362,1128,1490,30,132,0,1652,102,29,39,3,48,79,156,32,7,39,376,3,2,18,2,31,3,95,392,141
020501,514,1288,1802,19,103,0,1924,124,56,74,2,13,121,216,30,34,47,497,6,2,30,10,76,2,51,288,117
020502,35,72,107,1,15,0,123,13,1,10,0,1,6,32,8,1,2,5,0,0,2,1,6,4,3,16,4
020503,170,508,678,8,23,0,709,43,8,13,0,5,60,101,19,5,17,101,3,2,14,3,29,4,7,118,23
020504,386,636,1022,7,76,0,1105,75,25,48,2,12,164,75,18,11,18,263,3,2,41,3,50,8,26,217,101
020505,387,627,1014,12,32,0,1058,62,28,28,2,2,196,69,12,12,29,218,2,3,28,2,41,4,17,174,43
020506,62,68,130,2,4,0,136,24,2,3,0,0,8,42,1,0,5,11,0,0,3,1,3,0,4,14,3
020507,481,672,1153,9,81,0,1243,58,33,88,1,6,207,84,18,15,11,184,2,4,39,1,118,6,36,148,57
020508,1233,1783,3016,33,138,0,3187,188,94,137,2,10,326,175,141,18,28,767,5,7,64,6,118,10,62,650,262
020509,235,536,771,10,46,0,827,59,13,22,2,10,95,91,13,12,17,147,1,2,10,6,27,2,21,165,35
020510,110,528,638,10,44,0,692,61,38,9,1,2,39,88,21,12,8,98,2,4,15,3,36,0,24,153,28
020511,29,123,152,3,2,0,157,10,1,1,0,0,5,43,0,2,12,25,0,0,0,0,3,0,1,24,5
020512,84,150,234,2,10,0,246,37,2,4,0,0,26,8,0,0,11,53,0,0,5,1,4,0,6,39,8
020513,90,472,562,4,22,0,588,25,10,18,2,6,33,167,4,8,8,134,1,2,11,2,16,0,5,110,14
020514,50,80,130,1,7,0,138,11,1,8,0,0,18,6,0,1,15,13,2,0,3,1,11,0,16,18,3
020515,128,147,275,1,9,0,285,22,7,3,1,3,45,14,2,1,9,43,0,0,12,2,11,0,10,82,15
020601,2508,5796,8304,169,876,0,9349,377,350,238,12,111,850,519,132,80,95,2611,54,22,67,49,326,51,180,1851,1009
020602,501,928,1429,31,133,0,1593,79,54,45,4,12,186,124,20,12,18,483,6,3,21,12,47,8,58,220,132
020603,275,899,1174,11,82,0,1267,39,35,18,1,12,82,82,16,5,15,458,2,0,6,11,14,5,6,228,161
020604,497,1054,1551,19,60,0,1630,92,44,41,2,30,182,77,40,10,19,486,3,5,20,8,53,14,50,247,89
020605,388,630,1018,14,54,0,1086,53,23,12,6,35,141,34,4,3,8,363,1,5,7,4,17,2,25,261,76
020606,2024,3666,5690,168,548,0,6406,307,145,118,14,62,768,290,55,39,58,1975,12,13,127,42,143,18,153,1288,620
020607,277,626,903,27,63,0,993,64,40,22,1,2,98,62,17,6,23,341,2,1,11,4,31,2,17,133,62
020608,447,1047,1494,39,165,0,1698,88,33,13,2,10,178,80,46,3,63,545,0,5,13,13,31,3,48,319,157
020609,261,1842,2103,58,187,0,2348,66,27,30,0,36,56,82,12,3,26,1074,3,7,9,18,31,6,36,502,202
020610,660,1150,1810,25,109,0,1944,95,65,46,2,10,299,164,15,12,4,543,5,3,29,7,65,4,51,272,140
020611,752,1143,1895,26,69,0,1990,79,59,58,0,15,300,74,31,10,40,691,7,3,19,6,71,5,37,304,102
020701,1100,3589,4689,139,430,0,5258,246,73,240,4,357,220,425,72,24,63,1343,19,6,36,15,66,13,53,1306,569
020702,258,1172,1430,41,121,0,1592,136,27,51,0,15,50,47,33,10,18,477,7,4,10,14,11,4,7,564,153
020703,339,1701,2040,61,176,0,2277,79,30,95,8,44,77,110,46,25,35,706,6,6,26,15,46,7,16,572,249
020801,8998,5892,14890,129,1080,0,16099,764,1738,947,42,50,2850,581,177,139,100,1438,69,39,922,32,1365,45,701,1830,1011
020802,1275,1332,2607,40,131,0,2778,137,172,142,4,8,493,107,50,10,12,488,1,4,67,11,90,5,85,482,130
020803,821,689,1510,16,86,0,1612,60,116,39,0,6,316,36,12,25,5,112,5,13,131,5,83,6,49,204,287
020804,2350,1965,4315,83,300,0,4698,252,457,95,4,56,913,205,68,20,33,569,5,8,63,10,183,27,124,875,209
020901,285,425,710,20,42,0,772,67,20,9,1,8,96,105,13,15,25,93,2,1,8,2,14,1,40,165,60
020902,122,84,206,1,6,0,213,15,10,3,0,1,42,12,4,5,4,31,0,3,3,3,0,0,8,51,10
020903,81,157,238,4,2,0,244,33,31,1,0,0,17,15,6,0,2,49,0,0,8,0,3,0,21,35,8
020904,437,981,1418,17,51,0,1486,73,43,17,0,4,146,189,21,10,4,337,2,3,21,5,17,9,71,245,67
020905,281,205,486,2,20,0,508,26,9,9,0,1,74,32,9,4,10,43,1,1,14,0,33,0,23,92,29
020906,139,229,368,7,19,0,394,14,12,1,1,2,42,21,9,6,3,84,0,0,7,1,16,0,16,90,21
020907,115,93,208,0,10,0,218,39,5,2,0,0,52,13,4,1,8,13,0,1,1,1,5,0,17,41,14
021001,784,2823,3607,40,296,0,3943,306,120,161,15,7,225,346,44,32,60,1548,11,3,53,11,111,16,96,766,426
021002,220,674,894,13,62,0,969,88,27,9,1,2,45,76,20,14,12,239,1,6,9,9,16,5,16,259,41
021003,326,1844,2170,30,88,0,2288,193,25,61,3,3,89,159,28,7,22,895,6,4,25,21,63,8,29,476,102
021004,908,2997,3905,76,248,0,4229,417,143,91,8,8,198,147,74,25,68,1293,19,8,78,24,209,21,36,976,248
021005,132,1067,1199,22,42,0,1263,100,16,12,1,8,17,83,14,1,10,494,2,3,43,6,18,7,17,242,75
021006,156,635,791,16,49,0,856,146,8,7,0,4,52,51,39,5,21,214,1,2,19,2,16,4,8,189,51
021007,473,1544,2017,39,54,0,2110,156,36,20,2,5,133,135,21,15,11,811,4,3,34,10,39,4,34,376,296
021008,190,1307,1497,26,64,0,1587,109,21,25,2,6,66,104,17,9,35,625,2,2,11,9,21,5,52,248,127
021009,225,696,921,11,47,0,979,87,20,26,52,2,68,61,17,6,12,270,3,1,17,3,39,2,16,181,58
021010,177,846,1023,3,43,0,1069,113,4,17,1,4,42,49,12,0,21,455,3,1,9,5,12,4,15,186,63
021011,153,1445,1598,10,124,0,1732,250,11,30,1,3,40,264,10,4,13,462,5,5,14,2,21,3,25,323,77
021012,123,255,378,3,20,0,401,35,11,17,2,0,34,46,13,3,3,127,0,0,5,2,19,0,6,56,17
021013,63,738,801,7,28,0,836,140,4,15,0,3,27,57,10,3,12,284,0,1,14,4,15,5,9,176,48
021014,2265,8434,10699,107,577,0,11383,803,190,274,22,33,502,579,103,54,84,4097,24,20,204,54,461,42,222,1836,796
021015,297,1458,1755,17,64,0,1836,142,9,25,4,6,43,81,6,1,10,842,0,2,39,16,37,5,34,286,54
021016,229,467,696,16,49,0,761,100,22,8,1,4,49,59,14,4,24,157,1,2,17,8,24,1,17,135,38
021101,7842,6146,13988,97,639,0,14724,877,665,799,39,25,3826,953,203,151,69,1200,81,31,745,33,882,43,657,1622,635
021102,97,401,498,5,20,0,523,36,15,7,2,5,30,101,8,1,18,76,4,2,8,4,6,0,30,104,14
021103,931,474,1405,14,46,0,1465,69,52,46,4,2,485,47,15,6,11,92,7,1,42,2,59,4,64,161,233
021104,209,265,474,2,18,0,494,23,24,6,0,3,106,69,6,3,2,51,0,3,7,2,11,0,13,85,15
021105,149,335,484,1,8,0,493,30,21,6,0,0,57,64,7,2,5,79,0,0,11,2,4,0,10,68,16
021201,6689,6086,12775,209,1346,0,14330,700,874,579,27,63,2121,856,222,157,211,1862,446,50,198,49,792,57,537,2554,1162
021202,221,285,506,1,41,0,548,36,22,8,0,1,63,48,9,4,6,50,2,1,26,1,9,1,61,60,20
021203,433,368,801,12,27,0,840,28,59,12,2,3,153,78,25,8,14,85,21,5,7,1,13,3,25,191,36
021204,434,410,844,13,49,0,906,77,20,10,0,3,203,89,10,19,10,106,3,5,16,2,23,5,26,135,74
021205,629,533,1162,11,71,0,1244,54,43,16,2,2,247,98,28,14,34,167,18,4,13,6,24,2,27,250,101
021206,1775,1308,3083,60,173,0,3316,186,118,38,3,11,683,185,37,27,29,412,14,8,33,9,47,10,114,792,195
021207,2206,2132,4338,132,291,0,4761,160,136,46,1,22,819,237,72,53,53,890,196,12,51,14,96,14,71,1109,693
021208,1261,1321,2582,62,309,0,2953,106,73,61,3,7,609,155,61,20,42,403,42,12,40,9,55,24,110,707,232
021209,229,285,514,6,44,0,564,34,9,10,0,2,95,56,14,18,7,80,2,3,13,2,11,1,15,105,49
021210,395,775,1170,22,49,0,1241,76,55,22,0,2,125,79,28,12,34,232,2,2,39,7,11,6,87,224,58
021301,204,1230,1434,36,109,0,1579,133,30,36,0,8,26,65,12,13,18,640,2,2,11,12,52,5,58,290,117
021302,313,1607,1920,70,121,0,2111,168,72,27,2,7,92,107,42,14,13,744,6,4,17,19,20,2,123,490,166
021303,198,305,503,12,39,0,554,85,24,2,1,3,19,26,20,12,8,128,2,3,10,5,4,3,10,241,36
021304,149,740,889,21,45,0,955,119,18,7,1,5,28,52,44,5,13,269,0,2,2,8,1,2,41,276,60
021305,157,364,521,14,27,0,562,56,14,4,0,2,25,41,5,3,11,214,0,3,6,2,8,4,17,127,32
021306,261,2483,2744,96,198,0,3038,114,69,62,2,35,80,115,51,9,22,1228,8,6,18,16,18,44,52,915,226
021307,274,1226,1500,52,112,0,1664,82,29,27,8,38,66,130,27,27,10,596,3,2,5,6,21,15,45,403,109
021308,72,428,500,7,11,0,518,37,12,7,3,8,9,44,9,9,2,275,1,0,8,4,1,14,7,90,14
021401,290,322,612,8,17,0,637,37,22,10,0,1,94,35,7,9,7,74,0,2,17,3,32,7,21,110,42
021402,76,87,163,0,3,0,166,21,3,1,0,0,24,6,0,3,1,21,0,0,0,1,11,0,7,20,3
021403,52,31,83,0,0,0,83,15,1,3,0,0,34,3,0,0,0,5,0,0,1,2,0,0,7,12,0
021404,104,143,247,2,4,0,253,30,12,1,0,5,59,19,2,7,5,19,2,1,8,2,11,1,5,46,7
021405,478,307,785,4,20,0,809,42,20,18,0,1,216,31,5,6,7,83,1,4,10,2,53,8,32,110,13
021406,237,290,527,3,18,0,548,31,16,12,0,2,123,41,7,3,22,37,8,1,6,3,10,3,10,90,18
021407,69,49,118,0,0,0,118,16,2,6,0,0,24,8,1,1,2,13,0,0,5,0,2,2,0,32,3
021408,103,116,219,3,10,0,232,20,7,8,0,1,28,6,1,2,2,24,1,1,11,3,14,1,9,45,12
021409,177,237,414,3,15,0,432,48,15,18,0,3,69,35,4,5,14,32,0,0,11,3,16,1,27,41,11
021410,143,60,203,2,7,0,212,7,2,4,0,2,85,4,1,2,15,7,0,0,5,0,0,0,4,39,16
021501,372,759,1131,23,138,0,1292,114,57,41,2,4,90,92,27,29,9,215,2,4,8,3,58,1,65,245,117
021502,117,369,486,9,31,0,526,72,27,9,0,1,21,30,25,12,6,54,1,4,4,3,20,0,19,85,56
021503,466,1575,2041,28,137,0,2206,189,102,30,2,7,140,143,73,28,27,348,8,4,19,11,44,18,55,589,161
021504,51,210,261,2,13,0,276,21,23,2,1,5,13,24,9,4,5,67,3,1,4,1,4,6,16,46,18
021505,103,336,439,11,8,0,458,34,38,10,2,4,13,75,1,20,4,56,0,2,3,2,19,1,15,103,27
021506,62,181,243,2,6,0,251,8,14,3,0,2,14,13,5,5,4,92,0,0,0,0,2,3,4,48,11
021507,92,208,300,2,10,0,312,18,24,8,0,0,34,38,1,8,10,68,0,1,4,1,11,2,32,40,24
021508,295,740,1035,8,69,0,1112,91,72,18,0,10,105,74,24,8,19,331,2,6,14,4,30,3,58,234,103
021509,227,1314,1541,27,76,0,1644,157,120,30,4,7,66,87,40,14,18,535,0,6,18,5,28,5,31,341,104
021510,199,325,524,5,18,0,547,51,42,4,0,1,79,56,3,11,9,84,1,0,5,3,11,2,37,68,28
021511,538,671,1209,23,65,0,1297,91,69,23,3,9,115,123,81,17,37,133,1,7,25,5,48,8,61,269,91
021601,779,4198,4977,114,393,0,5484,488,86,126,4,35,239,630,204,128,37,2449,13,13,40,34,100,23,178,1792,521
021602,156,1294,1450,40,73,0,1563,118,43,29,5,21,58,219,58,17,13,749,2,0,20,19,34,18,32,435,101
021603,906,1473,2379,82,278,0,2739,108,36,36,6,12,239,231,103,54,27,728,9,4,15,29,18,17,114,893,262
021604,258,478,736,28,140,0,904,82,28,9,0,10,88,104,30,7,12,262,1,2,8,1,3,1,16,339,143
021701,919,2170,3089,36,180,0,3305,260,145,136,10,27,273,223,47,40,92,936,13,5,61,10,125,14,111,422,192
021702,517,2058,2575,28,100,0,2703,238,76,106,6,12,143,355,23,15,63,829,16,2,50,12,88,17,97,240,146
021703,131,185,316,3,3,0,322,29,8,8,0,0,63,21,0,4,10,55,0,0,5,0,12,2,11,38,15
021704,111,320,431,1,17,0,449,63,12,5,1,5,41,53,3,5,5,44,0,0,5,0,6,1,5,75,15
021705,124,462,586,5,15,0,606,46,28,15,7,5,37,96,6,18,42,119,2,1,6,2,13,1,9,129,10
021706,208,343,551,6,26,0,583,56,103,14,0,0,51,43,7,8,15,59,1,1,16,3,18,0,7,102,28
021707,172,357,529,6,22,0,557,62,9,11,0,2,78,60,3,6,16,112,0,0,15,3,10,1,13,79,27
021708,199,534,733,5,21,0,759,72,23,30,2,5,82,70,5,9,13,90,2,2,13,4,14,3,20,107,41
021709,72,190,262,6,7,0,275,24,13,5,1,1,26,18,4,4,3,51,0,1,3,3,5,4,6,65,7
021710,386,1171,1557,14,76,0,1647,165,42,60,1,9,110,114,18,6,19,527,6,1,42,8,53,5,52,168,91
021801,62547,57785,120332,702,11643,0,132677,8098,14623,10602,505,384,13958,6649,2635,1903,729,8551,1404,665,8211,430,13825,507,9212,13719,11188
021802,980,1570,2550,29,245,0,2824,181,187,104,6,10,274,167,49,20,22,279,8,9,51,8,87,14,85,444,216
021803,4283,4176,8459,76,701,0,9236,451,1179,604,17,28,1149,488,179,73,52,692,57,26,792,26,937,21,662,1226,695
021804,879,952,1831,20,68,0,1919,161,69,23,4,12,366,123,53,10,9,297,10,5,21,6,42,4,54,347,190
021805,2805,1778,4583,54,207,0,4844,240,321,182,6,9,1201,195,110,44,42,466,19,9,109,11,262,22,281,893,200
021806,2504,4819,7323,77,417,0,7817,520,742,517,10,24,628,501,120,87,56,1052,34,20,734,37,738,63,417,1040,420
021807,1514,1265,2779,25,137,0,2941,113,321,157,2,9,495,158,33,20,7,253,4,7,181,7,231,10,210,356,176
021808,7555,8859,16414,149,1465,0,18028,943,2105,883,64,71,2567,828,315,145,140,1715,68,41,1070,64,1298,84,1000,2774,1602
021809,38922,35233,74155,412,6959,0,81526,4951,9505,7802,313,220,7381,4724,1482,1320,425,5937,1057,440,5191,230,10026,465,4995,7271,6150
