ubigeo,total_fp,total_pl,total_validos,total_en_blanco,total_votos_nulos,total_votos_impugnados,total_votos_emitidos,total_primera_accion_popular,total_primera_app,total_primera_avanza_pais,total_democracia_directa,total_primera_frente_amplio,total_primera_fuerza_popular,total_primera_jpp,total_primera_somos,total_primera_partido_morado,total_primera_nacionalista,total_primera_peru_libre,total_primera_ppc,total_primera_pps,total_primera_podemos_peru,total_primera_renacimiento,total_renovacion_popular,total_upp,total_victoria_nacional,total_primera_blanco,total_primera_nulo
170301,493,397,890,2,49,0,941,48,65,32,2,1,147,32,8,11,7,127,2,2,34,2,62,12,41,201,41
170302,869,1922,2791,40,354,0,3185,283,146,102,1,6,291,173,8,24,34,625,7,5,44,11,137,60,136,811,194
170303,469,1009,1478,8,76,0,1562,72,59,29,1,8,216,53,3,12,25,424,1,9,20,5,50,51,41,319,95
180101,8958,28474,37432,183,2044,0,39659,5900,907,3561,77,113,1350,2563,1576,504,445,12340,470,100,1080,175,2348,182,1045,3754,1583
180102,144,1553,1697,10,49,0,1756,113,14,22,1,7,20,106,11,6,18,946,3,5,8,12,28,2,10,243,64
180103,50,821,871,7,13,0,891,89,5,9,0,2,10,62,3,2,20,403,0,0,5,8,9,6,5,135,33
180104,985,3205,4190,25,206,0,4421,684,75,425,8,19,138,251,146,44,54,1451,45,14,148,22,276,19,138,416,226
180105,105,1900,2005,9,39,0,2053,179,12,35,1,14,43,143,22,8,47,991,1,3,18,10,13,11,10,299,60
180106,681,4291,4972,23,142,0,5137,680,77,232,8,15,159,400,115,36,52,2520,25,11,83,21,164,38,68,587,225
180201,422,1028,1450,8,48,0,1506,198,15,91,3,5,163,153,61,13,37,492,9,3,29,10,66,14,33,232,74
180202,40,493,533,1,32,0,566,70,2,9,1,9,11,18,3,3,7,248,1,0,3,6,9,3,1,120,15
180203,141,522,663,6,20,0,689,69,4,22,0,1,49,71,7,9,9,258,2,1,5,8,15,4,13,124,21
180204,44,1486,1530,7,24,0,1561,194,4,19,2,24,17,140,10,6,24,680,2,2,9,15,16,5,3,263,70
180205,112,319,431,1,8,0,440,48,3,20,1,0,49,51,39,1,7,121,0,0,6,2,9,1,9,68,9
180206,19,400,419,3,10,0,432,40,3,5,4,3,5,17,2,3,16,207,1,1,4,3,7,3,4,71,22
180207,39,317,356,3,13,0,372,48,5,10,0,0,12,28,12,2,3,135,1,1,8,2,5,0,2,56,19
180208,289,1279,1568,8,51,0,1627,112,13,66,2,11,80,96,32,15,40,669,3,4,9,11,27,14,29,246,81
180209,33,290,323,1,6,0,330,47,4,6,1,2,5,32,1,1,4,130,2,0,3,3,7,7,7,47,14
180210,134,1048,1182,9,54,0,1245,135,7,26,1,37,38,120,15,3,44,579,2,2,5,11,39,7,12,282,65
180211,48,390,438,3,31,0,472,47,7,7,1,4,10,30,2,1,16,207,1,0,2,8,8,3,1,87,27
